,Ticker,Conversations,Headlines,HeadlinesL2Delta,ConversationL2Delta,HeadlinesR2,ConversationR2,HeadlinePascal,ConversationPascal
1235,EXP,0.5005,0.05178918918918918,0.0,0.14279999999999998,0.016026401239559743,1.0,0.010586109850691578,0.5362
1236,NYCB,0.153855,0.08769292929292931,-0.13849999999999996,-0.7053,0.012622118379389603,0.08346877968729133,0.2325466566444931,-0.1752400566219277
1237,HOG,-0.16732499999999995,0.04093650793650794,0.5859,0.032399999999999984,0.0002180831340739006,0.4849022988649001,0.09215556393421082,-0.6346359374999999
1238,CACI,0.5719,0.27305147058823537,0.7096,0.0,0.018733842997659716,0,0.22739399182824988,0.5719
1239,SRC,0.15001142189736907,0.1168875,-1.0584,0.038566981132075476,0.0021224476633758967,0,0.08331005249023439,0
1240,BPOP,0.15001142189736907,0.4247170731707316,0.25,0.038566981132075476,0.0934096154751143,0,0.43016140351460436,0
1241,FRPT,0.6063,0.13801296296296295,0.8856,0.12270000000000003,0.011849759475846627,0.8430907224801629,0.2449107316196296,0.87178125
1242,PRI,0.23349999999999999,0.08666304347826088,0.0,1.4026,0.11795972669908751,0,0.04870950667664619,0.58415
1243,NFE,0.31123999999999996,0.05542470588235292,0.026499999999999968,0.4767,0.04868156520398585,0.030361867870322395,0.19224777330816795,0.2892803468608843
1244,AZEK,0.15001142189736907,0.10698703703703705,-0.08350000000000002,0.038566981132075476,0.000925282487697368,0,-0.12193819748052735,0
1245,BOKF,0.15001142189736907,0.09615945945945946,0.3612,0.038566981132075476,0.08764537695721145,0,0.14595721113602242,0
1246,IART,0.15001142189736907,-0.05915090909090909,0.23070000000000002,0.038566981132075476,0.06228490362851825,0,0.009858789324092442,0
1247,REYN,0.15001142189736907,0.016433333333333324,0.0,0.038566981132075476,0.2591575664129822,0,-0.004083052183873011,0
1248,VVV,0.15001142189736907,0.1940309523809524,0.0516,0.038566981132075476,0.2801518192495025,0,0.2333698463406422,0
1249,LPX,-0.21665,0.12363555555555558,0.0,-0.4333,0.0040473944999309995,0.9999999999999996,0.13324519406234203,-0.324975
1250,DEI,0.15001142189736907,0.07698,-0.6222,0.038566981132075476,0.027458764380724976,0,0.152880168032398,0
1251,SNV,-0.20396666666666666,0.06765156249999998,0.5232,-0.1531,0.00855022964193276,0,-0.14703417557007067,-0.12436250000000001
1252,DV,0.0,0.16748732394366198,0.6597,0.0,0.004043743324800406,0,0.11849386459368816,0.0
1253,ASH,0.15001142189736907,0.2532076923076923,-0.2744,0.038566981132075476,0.18954254547861157,0,0.47637254403782525,0
1254,CR,0.15001142189736907,-0.00783030303030303,-0.4404,0.038566981132075476,0.030994642946519026,0,-0.25040903649794233,0
1255,TDC,0.4297999999999999,-0.02822643678160921,0.11850000000000005,0.6369,0.04032590839884722,0.008019381017174348,0.42103616051514325,0.387456884765625
1256,CUZ,0.15001142189736907,0.07675416666666666,-0.765,0.038566981132075476,0.03941729157935897,0,0.20335167440522758,0
1257,NVT,0.2202,0.09415476190476191,-0.7184,-0.4404,0.00010486153299020531,0,0.16248287240329895,0.1101
1258,EVR,0.15001142189736907,0.04105952380952381,-0.1628,0.038566981132075476,0.001983424504164484,0,0.196699350432297,0
1259,AMED,0.15001142189736907,0.13472903225806454,-0.6486,0.038566981132075476,0.28145658614405816,0,0.37894064609546907,0
1260,CERT,-0.04710000000000002,0.1999217391304348,0.0,-0.5858,0.03830486008963761,0,0.08848268747291753,-0.19355
1261,MRVI,0.0,0.07588958333333333,0.0,0.0,0.03969768097623737,0,0.17060092510284425,0.0
1262,CLH,0.4754,0.4219483870967743,0.4939,0.0,0.011748808897310108,0,0.3884845982989697,0.4754
1263,SLM,-0.1027,0.18308,-0.128,0.0,0.09155482442991185,0,0.11327837990519289,-0.1027
1264,NOV,0.3818,-0.011378431372549012,-0.3124,0.0,0.03315912098007499,0,-0.21808178767155806,0.3818
1265,SAM,0.6839999999999999,0.031373214285714275,-0.21549999999999997,-0.6076,0.0019552626350465927,0,-0.01859238689483299,0.5321
1266,VSCO,0.4215,0.102315625,0.0,0.0,0.0060492627114283794,0,0.08749182964697555,0.4215
1267,NCLH,0.4395315789473684,0.14709841269841267,0.0,0.4678,0.0011828720750349324,0.00884106680967795,0.17788469704498056,0.38489560211549373
1268,TKR,-0.5615,0.16681707317073172,-0.5423,0.0,0.05686091752398353,0,0.2601791046144109,-0.5615
1269,ESI,0.15001142189736907,0.3607083333333333,0.5317000000000001,0.038566981132075476,0.06792192968784883,0,0.4058980075462729,0
